gender,usage,credit,loan,history,accounts,status,status01,loan01
1,1,8.517193191416236,0.0,1,0,2,1,0
0,1,8.006367567650246,0.0,5,5,4,1,0
1,0,8.987196820661973,0.0,3,0,2,1,0
0,0,8.006367567650246,0.0,0,26,0,0,0
1,0,8.006367567650246,0.0,1,8,0,0,0
1,1,8.006367567650246,0.0,3,4,2,1,0
1,0,9.210340371976182,7.826842098158293,0,1,0,0,1
1,1,8.517193191416236,0.0,1,0,1,1,0
0,0,7.600902459542082,5.921578419643815,0,1,2,1,1
0,1,8.006367567650246,0.0,1,4,0,0,0
1,1,9.210340371976182,0.0,1,2,0,0,0
0,1,8.006367567650246,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,1,0,0,0,0
1,0,9.210340371976182,8.231109840328154,3,3,2,1,1
1,0,8.006367567650246,0.0,1,1,0,0,0
0,1,8.006367567650246,0.0,0,0,1,1,0
0,1,8.006367567650246,0.0,0,1,0,0,0
1,0,8.517193191416236,0.0,3,3,4,1,0
1,0,8.006367567650246,8.711772645605693,0,4,3,1,1
1,1,8.517193191416236,0.0,0,0,0,0,0
0,1,7.824046010856292,0.0,0,10,2,1,0
1,0,8.517193191416236,0.0,2,1,1,1,0
1,1,8.517193191416236,7.462214939768189,2,1,2,1,1
1,0,8.294049640102028,0.0,4,0,2,1,0
1,1,8.699514748210191,0.0,1,1,2,1,0
1,1,8.006367567650246,0.0,2,5,3,1,0
0,1,8.006367567650246,0.0,0,0,2,1,0
1,0,8.517193191416236,0.0,1,0,0,0,0
1,0,7.600902459542082,0.0,4,22,4,1,0
1,1,8.987196820661973,0.0,0,1,4,1,0
1,1,8.006367567650246,0.0,0,0,1,1,0
1,0,7.600902459542082,0.0,0,38,3,1,0
0,0,7.600902459542082,0.0,9,1,2,1,0
1,0,6.907755278982137,0.0,1,10,3,1,0
1,1,8.006367567650246,0.0,2,0,3,1,0
0,1,8.006367567650246,0.0,3,5,1,1,0
1,0,9.210340371976182,0.0,0,12,2,1,0
0,0,8.006367567650246,6.98100574072173,1,5,3,1,1
1,1,8.517193191416236,0.0,5,1,2,1,0
1,1,8.85366542803745,9.198773735604718,0,2,3,1,1
0,0,8.006367567650246,0.0,4,7,3,1,0
1,1,8.006367567650246,0.0,0,23,0,0,0
1,1,8.517193191416236,8.076826031298808,0,10,1,1,1
1,1,9.210340371976182,0.0,0,1,0,0,0
1,0,9.210340371976182,6.20050917404269,1,7,1,1,1
1,0,8.006367567650246,0.0,2,0,3,1,0
0,1,8.517193191416236,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,0,1,0,0,0
0,0,6.907755278982137,0.0,5,4,4,1,0
1,0,8.987196820661973,8.499843553081124,0,4,0,0,1
1,1,10.819778284410283,9.310909426897878,0,2,3,1,1
0,0,8.006367567650246,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,0,3,0,0,0
1,1,8.294049640102028,0.0,0,0,2,1,0
0,1,8.006367567650246,8.149890544402421,2,8,0,0,1
0,1,8.517193191416236,0.0,3,0,0,0,0
1,1,8.294049640102028,0.0,1,2,1,1,0
1,0,9.210340371976182,0.0,4,2,1,1,0
1,0,8.517193191416236,0.0,1,1,2,1,0
1,0,8.006367567650246,0.0,0,0,0,0,0
1,1,8.006367567650246,0.0,0,1,2,1,0
0,1,8.006367567650246,0.0,2,2,4,1,0
1,1,9.210340371976182,0.0,0,0,2,1,0
0,1,9.210340371976182,0.0,0,2,3,1,0
0,1,8.006367567650246,0.0,0,0,0,0,0
0,0,8.517193191416236,8.691314551644851,0,11,0,0,1
1,1,8.294049640102028,0.0,0,4,0,0,0
1,0,8.006367567650246,0.0,0,3,2,1,0
0,1,8.006367567650246,0.0,1,1,2,1,0
1,1,8.517193191416236,0.0,1,5,2,1,0
1,0,8.517193191416236,0.0,1,1,2,1,0
1,1,8.006367567650246,0.0,0,0,2,1,0
1,1,8.006367567650246,0.0,1,3,1,1,0
1,1,9.903487552536127,0.0,0,2,1,1,0
1,1,8.517193191416236,0.0,3,2,1,1,0
1,0,8.006367567650246,0.0,0,11,0,0,0
1,1,8.517193191416236,0.0,7,2,0,0,0
1,1,8.006367567650246,0.0,0,0,2,1,0
1,0,8.517193191416236,0.0,3,0,2,1,0
1,0,7.600902459542082,0.0,14,2,3,1,0
1,0,8.006367567650246,0.0,0,17,0,0,0
1,1,9.903487552536127,7.9266025991813835,0,4,0,0,1
1,1,8.517193191416236,0.0,0,1,0,0,0
0,1,8.517193191416236,0.0,1,3,2,1,0
1,0,9.210340371976182,0.0,0,13,2,1,0
1,1,8.699514748210191,0.0,0,0,3,1,0
1,1,8.517193191416236,7.786136437783072,1,4,0,0,1
1,1,8.006367567650246,0.0,1,2,0,0,0
1,1,7.600902459542082,0.0,3,7,2,1,0
1,0,8.006367567650246,0.0,2,1,2,1,0
1,1,8.006367567650246,8.04237800517328,0,11,3,1,1
1,0,7.600902459542082,0.0,0,25,0,0,0
1,0,8.006367567650246,0.0,2,3,3,1,0
1,0,8.517193191416236,0.0,2,0,2,1,0
1,0,7.600902459542082,0.0,0,6,0,0,0
1,0,8.006367567650246,0.0,0,0,1,1,0
1,1,8.517193191416236,0.0,0,0,1,1,0
1,1,8.006367567650246,0.0,1,1,2,1,0
1,0,8.006367567650246,0.0,10,6,2,1,0
1,1,8.160518247477505,0.0,0,0,0,0,0
1,1,9.210340371976182,0.0,1,2,1,1,0
1,0,7.600902459542082,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,2,0,0,0,0
1,1,8.517193191416236,0.0,0,0,0,0,0
1,0,8.517193191416236,0.0,2,7,0,0,0
0,1,8.517193191416236,5.438079308923196,2,2,0,0,1
1,0,9.392661928770137,0.0,6,9,4,1,0
1,1,8.517193191416236,0.0,0,1,2,1,0
1,0,9.210340371976182,7.0192966537150445,0,0,0,0,1
1,1,8.517193191416236,0.0,0,1,1,1,0
1,0,7.600902459542082,0.0,3,0,3,1,0
1,1,8.987196820661973,8.376781037699493,2,2,0,0,1
1,1,8.517193191416236,0.0,2,3,3,1,0
1,1,8.006367567650246,0.0,3,0,2,1,0
0,0,8.006367567650246,0.0,1,3,2,1,0
1,0,8.85366542803745,0.0,0,7,2,1,0
0,1,8.006367567650246,0.0,1,0,0,0,0
1,1,9.210340371976182,8.192847134592865,1,4,1,1,1
1,1,8.006367567650246,0.0,1,3,2,1,0
1,0,8.006367567650246,0.0,1,0,0,0,0
1,1,8.517193191416236,8.258422462458876,0,0,0,0,1
1,1,8.517193191416236,0.0,0,1,2,1,0
0,1,8.517193191416236,8.124446855715847,0,3,0,0,1
1,1,8.006367567650246,0.0,0,1,1,1,0
1,0,8.006367567650246,0.0,5,1,2,1,0
1,1,9.903487552536127,7.878912912297132,0,1,0,0,1
0,1,8.006367567650246,0.0,1,2,3,1,0
1,1,9.210340371976182,0.0,0,0,0,0,0
1,0,7.600902459542082,0.0,6,13,0,0,0
1,1,8.006367567650246,0.0,1,1,0,0,0
1,0,8.006367567650246,8.180600947594447,3,1,1,1,1
